node,name,type,lon,lat
251,PLTD_Sungai_Hanyu,generator,114.0160,-0.9270
252,PLTD_Pendang,generator,114.8740,-1.5060
253,PLTD_Tanjung_Jawa,generator,114.8350,-1.5650
254,PLTD_Muara_Plantau,generator,115.0010,-1.9390
255,PLTD_Bundar,generator,114.9300,-1.4780
256,PLTD_Merawan_Lama,generator,114.8840,-1.4510
257,PLTD_Babai,generator,114.8360,-1.9540
258,PLTD_Mangkatip,generator,114.8510,-2.2240
259,PLTD_Teluk_Betung,generator,114.8630,-1.9780
260,PLTD_Rangga_Ilung,generator,114.8710,-2.3400
261,PLTD_Damparan,generator,114.8680,-2.1380
262,PLTD_Benangin,generator,115.0880,-0.9780
263,PLTD_Tumpung_Laung,generator,114.8160,-1.3210
264,PLTD_Luwe_Hulu,generator,114.9410,-0.7950
265,PLTD_Montalat,generator,114.8940,-1.3230
266,PLTD_Kandui,generator,115.1190,-1.2570
267,PLTD_Sabuh,generator,114.9760,-0.9710
268,PLTD_Muara_Laung,generator,114.7320,-0.5990
269,PLTD_Tumbang_Lahung,generator,114.3020,-0.6950
270,PLTD_Karangan,generator,117.6730,1.3500
271,PLTBm_Karangan_DL,generator,117.6730,1.3500
272,PLTD_Pengadan,generator,117.6730,1.3500
273,PLTD_Muara_Wahau_Altrak,generator,116.8430,1.0450
274,PLTD_Batu_Ampar,generator,116.8310,0.6790
275,PLTD_Senyiur,generator,116.6230,0.3120
276,PLTD_Senyiur_Pemkab,generator,116.6230,0.3120
277,PLTD_Long_Segar,generator,116.8210,0.7980
278,PLTD_Gemar_Baru,generator,116.3760,0.8010
279,PLTD_Gemar_Baru_Pemkab,generator,116.3760,0.8010
280,PLTD_Muara_Pantuan,generator,117.5690,-0.5800
281,PLTD_Melak_Pemkab,generator,115.8320,-0.2120
282,PLTD_Melak_Sewatama,generator,115.8310,-0.2120
283,PLTD_Melak_Kaltimex,generator,115.8320,-0.2120
284,PLTD_Long_Iram,generator,115.6330,0.0130
285,PLTD_Long_Iram_Pemkab,generator,115.6330,0.0130
286,PLTD_Muara_Pahu,generator,116.0640,-0.3250
287,PLTD_Datah_Bilang,generator,115.4640,0.2260
288,PLTD_Long_Bagun,generator,115.2370,0.2260
289,PLTD_Long_Bagun_Pemkab,generator,115.2570,0.2060
290,PLTD_Dilang_Putih,generator,115.7660,-0.7170
291,PLTD_Tabisaq,generator,115.9210,-0.4970
292,PLTD_Kelumpang,generator,115.8230,-0.1730
293,PLTD_Muara_Muntai,generator,116.4740,-0.6430
294,PLTD_Penyinggahan,generator,116.2230,-0.3870
295,PLTD_Tanjung_Isuy,generator,116.1400,-0.5140
296,PLTD_Muara_Siran,generator,116.6360,-0.1280
297,PLTD_Muara_Kedang,generator,116.2980,-0.5670
298,PLTD_Semayang,generator,116.4520,-0.1830
299,PLTD_Jantur,generator,116.2900,-0.4200
300,PLTD_Tabang,generator,115.9270,0.6730
301,PLTD_Muara_Aloh,generator,116.3520,-0.4320
302,PLTD_Sedulang,generator,116.8110,-0.1250
303,PLTD_Long_Apari,generator,114.5340,0.8120
304,PLTD_Long_Pahangai,generator,114.7090,0.8830
305,PLTBg_Rea_Kaltim,generator,115.8010,-0.2420
306,PLTD_Samabliung_Kaltimex,generator,117.5110,2.1580
307,PLTD_Bunyu,generator,117.8450,3.4690
308,PLTD_Atap,generator,117.0490,3.8550
309,PLTD_Tanah_Merah,generator,117.5400,3.7640
310,PLTD_Sekatak_Pemkab,generator,117.0700,3.3070
311,PLTD_Sekatak,generator,117.0700,3.3070
312,PLTD_Malinau_Pemkab,generator,116.6110,3.5410
313,PLTD_Biduk-Biduk,generator,118.7460,1.2160
314,PLTD_Malinau_Kaltimex,generator,116.6110,3.5410
315,PLTD_KTT_Pemkab,generator,116.9330,3.6080
316,PLTD_KTT,generator,116.9330,3.6080
317,PLTD_Selor_Sewatama,generator,117.3860,2.8320
318,PLTD_Selor_Makro,generator,117.3860,2.8320
319,PLTD_Long_Peso,generator,116.7810,2.6910
320,PLTD_Mara,generator,116.2390,2.7500
321,PLTD_Long_Beluah,generator,116.1210,2.7380
322,PLTD_Nunukan,generator,117.6400,4.1340
323,PLTD_Nunukan_Pemkab,generator,117.6400,4.1340
324,PLTD_Sebatik,generator,117.9090,4.1470
325,PLTS_Sebatik,generator,117.9090,4.1470
326,PLTD_Tanjung_Batu,generator,118.0920,2.2780
327,PLTD_Talisayan_Pemkab,generator,118.1770,1.6050
328,PLTD_Talisayan,generator,118.1770,1.6050
329,PLTD_Talisayan_PT_IPB,generator,118.1770,1.6050
330,PLTBm_Talisayan_DL,generator,118.1770,1.6050
331,PLTD_Gunung_Sari,generator,117.1160,2.1850
332,PLTBm_Gunung_Sari_HHM,generator,117.1170,2.1850
333,PLTD_Derawan,generator,118.2430,2.2860
334,PLTS_Derawan,generator,118.2430,2.2860
335,PLTD_Batu_Putih,generator,118.4460,1.3520
336,PLTD_Merasa,generator,117.2510,1.8060
337,PLTD_Tubaan,generator,117.8590,1.8180
338,PLTD_Krayan,generator,115.7000,3.8830
339,PLTMH_Krayan_Pemkab,generator,115.7000,3.8830
340,PLTMH_Krayan,generator,115.7000,3.8830
341,PLTD_Seimenggaris,generator,117.3410,4.1880
342,PLTS_Seimenggaris_ESDM,generator,117.3410,4.1880
343,PLTD_Sebuku,generator,117.0230,4.0630
344,PLTS_Sebuku_ESDM,generator,117.0230,4.0630
345,PLTD_Tulin_Onsoi,generator,116.9920,4.1800
346,PLTS_Tulin_Onsoi_ESDM,generator,116.9920,4.1800
347,PLTS_Sebatik_ESDM,generator,117.8020,4.1530
348,PLTD_Lumbis_Ogong,generator,116.5480,3.9300
349,PLTS_Lumbis_Ogong_ESDM,generator,116.5480,3.9300
350,PLTD_Kayan_Hulu,generator,114.9100,1.7850
351,PLTS_Kayan_Hulu_ESDM,generator,117.5950,3.3040
352,PLTD_Tarakan,generator,117.5950,3.3040
353,PLTD_Sewa_Tarakan,generator,117.5950,3.3030
354,PLTG_Trisakti,generator,114.5700,-3.3100
355,PLTMG_Bangkanai_Blok_#01,generator,115.1370,-0.6220
356,PLTMG_Bangkanai_Blok_#02,generator,115.1370,-0.6230
357,PLTMG_Bangkanai_Blok_#03,generator,115.1370,-0.6230
358,PLTMG_Bangkanai_Blok_#04,generator,115.1370,-0.6230
359,PLTU_Asam_Asam_#01,generator,115.1050,-3.9270
360,PLTU_Asam_Asam_#02,generator,115.1060,-3.9260
361,PLTU_Asam_Asam_#03,generator,115.1060,-3.9260
362,PLTU_Asam_Asam_#04,generator,115.1060,-3.9260
363,PLTU_Pulang_Pisau_#01,generator,114.2090,-2.8230
364,PLTU_Pulang_Pisau_#02,generator,114.2090,-2.8230
365,PLTMG_Bontang_Wartsila_#01,generator,117.4540,0.1370
366,PLTMG_MPP_Kaltim_#03,generator,117.4540,0.1380
367,PLTMG_MPP_Kaltim_#04,generator,117.4540,0.1380
368,PLTMG_MPP_Kaltim_#01,generator,117.4540,0.1380
369,PLTMG_MPP_Kaltim_#02,generator,117.4540,0.1380
370,PLTMG_Bontang_Wartsila_#02,generator,117.4540,0.1370
371,PLTU_Teluk_Balikpapan_#01,generator,116.7890,-1.1700
372,PLTU_Teluk_Balikpapan_#02,generator,116.7890,-1.1700
373,PLTGU_Tanjung_Batu_#01,generator,117.0510,-0.3820
374,PLTGU_Tanjung_Batu_#02,generator,117.0510,-0.3810
375,PLTGU_Tanjung_Batu_#03,generator,117.0510,-0.3810
376,PLTG_Peaking_#01,generator,117.0520,-0.3840
377,PLTG_Peaking_#02,generator,117.0520,-0.3840
378,PLTG_Sambera_#01,generator,117.2910,-0.3170
379,PLTG_Sambera_#02,generator,117.2920,-0.3170
380,PLTG_Siantan,generator,109.3270,-0.0010
381,PLTU_Parit_Baru_Site Bengkayang #01,generator,108.8740,0.8370
382,PLTU_Sanggau_#01,generator,110.5560,0.0300
383,PLTU_Sanggau_#02,generator,110.5560,0.0300
384,PLTU_Sintang_#01,generator,111.4340,0.0740
385,PLTU_Sintang_#02,generator,111.4340,0.0740
386,PLTU_Sintang_#03,generator,111.4340,0.0740
387,PLTU_Ketapang_#01,generator,109.9420,-1.7820
388,PLTU_Ketapang_#02,generator,109.9420,-1.7820
389,PLTU_PT._Conch_South_Kalimantan_Cement_(SKC),generator,115.5700,-2.0630
390,PLTU_Dua_Samudera_Perkasa_(DSP),generator,116.0290,-3.3090
391,PLTU_Rimau_Electric,generator,115.1270,-2.0180
392,PLTMG_Belimbing,generator,117.4510,0.1660
393,PLTU_Kariangau_(PT._Kariangau_Power)_#01,generator,116.8010,-1.1990
394,PLTU_Kariangau_(PT._Kariangau_Power)_#02,generator,116.8010,-1.1990
395,PLTU_Senoni_#01,generator,117.0930,-0.5430
396,PLTU_Senoni_#02,generator,117.0930,-0.5440
397,PLTU_Rimba_Raya,generator,117.0350,-0.5470
398,PLTU_MT_Kaltim_(Muara_Jawa)_#01,generator,117.1890,-0.7800
399,PLTU_MT_Kaltim_(Muara_Jawa)_#02,generator,117.1890,-0.7800
400,PLTU_Kalsel-1_(PT._Tanjung_Power_Indonesia)_#01,generator,115.4420,-2.1620
401,PLTU_Kalsel-1_(PT._Tanjung_Power_Indonesia)_#02,generator,115.4430,-2.1620
402,PLTG_Senipah_#01,generator,117.1350,-0.9880
403,PLTG_Senipah_#02,generator,117.1360,-0.9870
404,PLTU_Embalut_(PT._Cahaya_Fajar_Kaltim)_#01,generator,117.0620,-0.3730
405,PLTU_Embalut_(PT._Cahaya_Fajar_Kaltim)_#02,generator,117.0620,-0.3730
406,PLTU_Embalut_Ekspansi_(PT._Cahaya_Fajar_Kaltim),generator,117.0630,-0.3730
407,PLTMG_MPP_PLN_Batam_(MPP_Pontianak),generator,109.2040,0.0590
408,PLTD_Kuala_Kurun_#01_(MWM),generator,113.8730,-1.1170
409,PLTD_Kuala_Kurun_#02_(DEUTZ_MWM),generator,113.8730,-1.1170
410,PLTD_Kuala_Kurun_#03_MITSUBISHI),generator,113.8720,-1.1170
411,PLTD_Kuala_Kurun_#04_MITSUBISHI),generator,113.8720,-1.1170
412,PLTD_Kuala_Kurun_#05_MITSUBISHI),generator,113.8720,-1.1170
413,PLTD_Kuala_Pembuang_#01_(MWM),generator,112.5450,-3.3900
414,PLTD_Kuala_Pembuang_#05_(MITSUBISHI),generator,112.5450,-3.3900
415,PLTD_Kuala_Pembuang_#06_(MITSUBISIH),generator,112.5450,-3.3900
416,PLTD_Kuala_Pembuang_#07_(MITSUBISHI),generator,112.5450,-3.3900
417,PLTD_Kuala_Pembuang_#08_(MITSUBISHI),generator,112.5450,-3.3900
418,PLTD_Sukamara_#03_(MWM),generator,111.1640,-2.7170
419,PLTD_Sukamara_#04_(DEUTZ),generator,111.1640,-2.7170
420,PLTD_Sukamara_#05_(DEUTZ_AG),generator,111.1640,-2.7170
421,PLTD_Sukamara_#06_(MTU),generator,111.1640,-2.7170
422,PLTD_Sukamara_#07_(MITSUBITSI),generator,111.1640,-2.7170
423,PLTD_Sukamara_#08_(MITSUBITSI),generator,111.1640,-2.7170
424,PLTD_Sukamara_#09_(MITSUBITSI),generator,111.1640,-2.7170
425,PLTU_PT._Smart_Tarjun_Refinery,generator,116.1190,-3.2710
426,PLTU_Pangkalan_Bun_(PT._Eksploitasi_Energi_Indonesia),generator,111.7030,-2.7710
427,PLTD_Kuala_Pembuang_#02_(DEUTZ_MWM),generator,112.5450,-3.3900
428,PLTD_Kuala_Pembuang_#03_(DEUTZ_MWM),generator,112.5450,-3.3900
429,PLTD_Kuala_Pembuang_#04_(DEUTZ_MWM),generator,112.5450,-3.3900
430,PLTD_Sukamara_#01_(MAN),generator,111.1640,-2.7170
431,PLTD_Sukamara_#02_(MAN),generator,111.1640,-2.7170
432,PLTU_Lati_(PT._Indo_Pusaka_Berau),generator,117.6190,2.2150
433,PLTU_Sangatta_(PT._Kaltim_Prima_Coal)_Ex_Sektor_Mahakam,generator,117.6350,0.5390
434,PLTMG_Gunung_Belah_#01,generator,117.5960,3.3040
435,PLTMG_Gunung_Belah_#02,generator,117.5960,3.3040
436,PLTU_PT._Idec_Abadi_Wood_Industries_(AWI),generator,117.6120,3.2920
437,PLTU_PT._Indocement_Tunggal_Perkasa,generator,116.1080,-3.2730
438,PLTU_PT._Makmur_Sejahtera_Wisesa,generator,115.4450,-2.1580
439,PLTG_PLN_Tarakan_#01,generator,117.5960,3.3030
440,PLTMG_PLN_Tarakan,generator,117.5960,3.3030
441,PLTG_PLN_Tarakan_#02,generator,117.5960,3.3040
442,PLTU_PT._Sumber_Alam_Sekurau_(SAS),generator,117.5210,2.7940
443,PLTU_PT._Wijaya_Triutama_Plywood_Industri,generator,114.5620,-3.3360
444,PLTU_PT._Kaltim_Daya_Mandiri,generator,117.4970,0.1750
445,PLTU_PT._Kalimantan_Powerindo,generator,116.8370,-0.3200
446,PLTU_Tembilok_(IPP_Ketapang)_#01,generator,109.9520,-1.7820
447,PLTU_Tembilok_(IPP_Ketapang)_#02,generator,109.9520,-1.7820
448,PLTU_Parit_Baru_Site_Bengkayang_#02,generator,108.8740,0.8370
449,PLTMG_Tanjung_Selor_Unit_2,generator,117.3670,2.8140
450,PLTU_Kaltim_(FTP2)_Unit_1,generator,117.4920,0.0540
451,PLTU_Tanjung_Redep_/_Berau_#02,generator,117.3930,2.1560
452,PLTU_Kaltim_(FTP2)_Unit_2,generator,117.4920,0.0550
453,PLTMG_Tanjung_Selor_Unit_1,generator,117.3670,2.8140
454,PLTU_Kaltim_4_(Ekspansi-2_Embalut)_#01,generator,117.0660,-0.3640
455,PLTU_Kaltim_4_(Ekspansi-2_Embalut)_#02,generator,117.0660,-0.3640
456,PLTU_Tanjung_Redep_/_Berau_#01,generator,117.3930,2.1560
457,PLTBg_Suka_Damai,generator,115.7730,-3.3410
458,PLTU_Kalselteng_1_(PT._SKS_Listrik_Kalimantan)_#01,generator,113.5670,-1.3740
459,PLTU_Kalselteng_1_(PT._SKS_Listrik_Kalimantan)_#02,generator,113.5670,-1.3740
460,PLTD_Kuala_Pembuang_Unit_7,generator,112.5450,-3.3900
461,PLTU_Kalbar_1_Unit_1,generator,108.8460,0.8150
462,PLTGU_Senipah_(ST),generator,117.1360,-0.9870
463,PLTD_Kuala_Pembuang_Unit_9,generator,112.5450,-3.3900
464,PLTU_Kalbar_1_Unit_2,generator,108.8460,0.8160
465,PLTD_Kuala_Kurun_Unit_2-3,generator,113.8720,-1.1170
466,PLTD_Kuala_Kurun_Unit_4,generator,113.8720,-1.1170
467,PLTD_Gunung_Purei_Unit_123,generator,115.6200,-1.1330
468,PLTD_Simpang_Sepaku_Mitsubishi_Unit_56,generator,111.5030,-2.2090
469,PLTD_Simpang_Sepaku_Mitsubishi_Unit_9,generator,111.5020,-2.2090
470,PLTD_Kartamulia_Sukamara_Mitsubishi_Unit_78,generator,111.2110,-2.6850
