node,type,location,lon,lat,p_nom,carrier,marginal_cost,owner,build_year,bus,voltage
GI_Sambas,substation,,109.2688,1.3429,,,,,,,150
GI_Singkawang,substation,,108.9876,0.9266,,,,,,,150
GI_PLTU_3_Kalbar,substation,,108.8747,0.8361,,,,,,,150
GI_PLTU_2_Kalbar,substation,,108.8653,0.83,,,,,,,150
GI_Senggiring,substation,,108.9853,0.3162,,,,,,,150
GI_Parit_Baru,substation,,109.2055,0.0592,,,,,,,150
GI_Kota_Baru,substation,,109.2987,-0.0754,,,,,,,150
GI_Siantan,substation,,109.328,-0.0002,,,,,,,150
GI_Sei_Raya,substation,,109.3809,-0.0735,,,,,,,150
GI_Tayan,substation,,110.0932,0.0015,,,,,,,150
GI_Ngabang,substation,,110.001,0.3534,,,,,,,150
GI_Bengkayang,substation,,109.4967,0.9056,,,,,,,150
GITET_Bengkayang,substation,,109.4966,0.9066,,,,,,,275
GI_Pangkalanbun,substation,,111.7037,-2.6152,,,,,,,150
GI_Sampit,substation,,112.9207,-2.4816,,,,,,,150
GI_PLTU_Sampit,substation,,112.9101,-2.7625,,,,,,,150
GI_Kasongan,substation,,113.4337,-1.9002,,,,,,,150
GI_Palangkaraya,substation,,113.8739,-2.1748,,,,,,,150
GI_Sebangau,substation,,113.9302,-2.2748,,,,,,,150
GI_Pulau_Pisang,substation,,114.2547,-2.7316,,,,,,,150
GI_S_Mintin,substation,,114.2086,-2.8214,,,,,,,150
GI_Selat,substation,,114.3736,-3.0121,,,,,,,150
GI_Seberang_Barito,substation,,114.5522,-3.2767,,,,,,,150
GI_Trisakti,substation,,114.571,-3.3094,,,,,,,150
GI_Mantuil,substation,,114.627,-3.4236,,,,,,,150
GI_Asam-asam,substation,,115.1049,-3.9253,,,,,,,150
GI_Satui,substation,,115.519,-3.7127,,,,,,,150
GI_Batulicin,substation,,115.9862,-3.4822,,,,,,,150
GI_Cempaka,substation,,114.8499,-3.4658,,,,,,,150
GI_Pelaihari,substation,,114.7576,-3.7296,,,,,,,150
GI_Bandara,substation,,114.7553,-3.4725,,,,,,,150
GI_Rantau,substation,,115.126,-3.0289,,,,,,,150
GI_Barikin,substation,,115.3276,-2.6843,,,,,,,150
GI_Kayutangi,substation,,114.6205,-3.2304,,,,,,,150
GI_Amuntai,substation,,115.2949,-2.4171,,,,,,,150
GI_Tanjung,substation,,115.4505,-2.1953,,,,,,,150
GI_Buntok,substation,,114.9788,-1.7459,,,,,,,150
GI_Muara_Teweh,substation,,114.8658,-0.8672,,,,,,,150
GI_Bangkanai,substation,,115.1385,-0.6212,,,,,,,150
GI_Muara_Komam,substation,,115.8694,-1.828,,,,,,,150
GI_Kuaro,substation,,116.0945,-1.8032,,,,,,,150
GI_Grogot,substation,,116.1656,-1.8984,,,,,,,150
GI_Longikis,substation,,116.3231,-1.5161,,,,,,,150
GI_Petung,substation,,116.6719,-1.3408,,,,,,,150
GI_Kariangau,substation,,116.792,-1.1657,,,,,,,150
GI_Karangjoang,substation,,116.8777,-1.1488,,,,,,,150
GI_Manggar_Sari,substation,,116.9488,-1.2383,,,,,,,150
GI_Industri,substation,,116.8411,-1.262,,,,,,,150
GI_Senipah,substation,,117.135,-0.9869,,,,,,,150
GI_Harapan_Baru,substation,,117.1063,-0.547,,,,,,,150
GI_Tengkawang,substation,,117.1136,-0.5024,,,,,,,150
GI_Embalut,substation,,117.0518,-0.3816,,,,,,,150
GI_Bukit_Biru,substation,,116.978,-0.456,,,,,,,150
GI_Kotabangun,substation,,116.5953,-0.2716,,,,,,,150
GI_Bukuan,substation,,117.193,-0.5832,,,,,,,150
GI_Muara_Jawa,substation,,117.1886,-0.7806,,,,,,,150
GI_Sambutan,substation,,117.2139,-0.5242,,,,,,,150
GI_Muara_Badak,substation,,117.2925,-0.316,,,,,,,150
GI_Teluk_Pandan,substation,,117.435,0.1614,,,,,,,150
GI_Sangatta,substation,,117.5693,0.4701,,,,,,,150
GI_Malinau,substation,,116.6286,3.5114,,,,,,,150
GI_Tideng_Pale,substation,,116.8411,3.5748,,,,,,,150
PLTD Trisakti,generator,Kalimantan Selatan,114.572,-3.31,54.2,Oil,,PLN,1983,,
PLTD Kuala Kapuas,generator,Kalimantan Tengah,114.374,-3.012,6,Oil,,PLN,1992,,
PLTD Barabai,generator,Kalimantan Selatan,115.376,-2.593,6.672,Oil,,PLN,1977,,
PLTD Panangkalaan,generator,Kalimantan Selatan,115.262,-2.404,8.534,Oil,,PLN,1986,,
PLTD Tanjung,generator,Kalimantan Selatan,115.931,-2.183,0,Oil,,PLN,1977,,
PLTD Maburai,generator,Kalimantan Selatan,115.45,-2.195,1.88,Oil,,PLN,1996,,
PLTA IR. PM Noor,generator,Kalimantan Selatan,115.008,-3.516,30,Run_of_River,,PLN,1973,,
PLTD Asam Asam,generator,Kalimantan Selatan,115.105,-3.925,8.4,Oil,,PLN,2000,,
PLTD Karang Asam,generator,N/A,117.114,-0.502,40,Oil,,PLN,1978,,
PLTD Bontang,generator,N/A,117.459,0.145,27.59,Oil,,PLN,2003,,
PLTD Kledang,generator,N/A,117.122,-0.523,40.03,Oil,,PLN,1987,,
PLTU Mangkujenang,generator,N/A,117.156,-0.539,4,Coal,,Excess Power,2015,,
PLTD Tanah Grogot,generator,N/A,116.18,-1.888,3.19,Oil,,PLN,1996,,
PLTD Petung,generator,N/A,116.67,-1.342,5.812,Oil,,PLN,1984,,
PLTD Batu Sopang,generator,N/A,115.912,-1.82,8.4,Oil,,PLN,2006,,
PLTD Long Ikis,generator,N/A,116.187,-1.6,2.6,Oil,,Sewa,2002,,
PLTD Gunung Malang,generator,N/A,116.841,-1.263,20.08,Oil,,PLN,1978,,
PLTD Batakan Unit,generator,N/A,116.951,-1.238,12.16,Oil,,PLN,1988,,
PLTD Cogindo (MFO),generator,N/A,116.951,-1.238,40,Oil,,IPP,2009,,
PLTD CDE Karang Joang (MFO),generator,N/A,116.878,-1.149,30,Oil,,Excess Power,2010,,
PLTD Muara Komam,generator,N/A,115.812,-1.675,2.79,Oil,,PLN,1982,,
PLTD Kerang,generator,N/A,116.082,-2.239,0.96,Oil,,PLN,1982,,
PLTD Tanjung Aru,generator,N/A,116.584,-2.175,0.4,Oil,,PLN,2002,,
PLTD Jenebora/Gresik,generator,N/A,116.735,-1.186,0.76,Oil,,PLN,2000,,
PLTD Siantan,generator,Kalimantan Barat,109.327,-0.002,49.9,Oil,,PLN,1977,,
PLTD Sei Raya,generator,Kalimantan Barat,109.38,-0.072,50.4,Oil,,PLN,1987,,
PLTD Sudirman,generator,Kalimantan Barat,108.998,0.911,5.585,Oil,,PLN,1982,,
PLTD Sei Wie,generator,Kalimantan Barat,108.987,0.926,18.4,Oil,,PLN,1986,,
PLTBm PT. Rezeki,generator,Kalimantan Barat,109.286,0.011,10,Biomass,,IPP,2018,,
PLTD Sewatama Sera I&II,generator,Kalimantan Barat,109.381,-0.073,0,Oil,,Sewa,2001,,
PLTD Sewa Ake,generator,Kalimantan Barat,109.328,-0.001,20,Oil,,Sewa,2008,,
PLTD Artiduta,generator,Kalimantan Barat,109.38,-0.074,45,Oil,,Sewa,2010,,
PLTD Sewatama Sera III,generator,Kalimantan Barat,109.381,-0.073,0,Oil,,Sewa,2013,,
PLTD Bugak Berawang,generator,Kalimantan Barat,109.203,0.061,30,Oil,,Sewa,2016,,
PLTA SESCO 275,generator,N/A,110.35,1.354,90,Run_of_River,,Excess Power,2016,,
PLTD Muara Bengkal,generator,N/A,116.674,0.437,4.548,Oil,,PLN,1997,,
PLTD Muara Wahau,generator,N/A,116.843,1.045,6.894,Oil,,PLN,1995,,
PLTD Sepaso,generator,N/A,117.561,0.756,4.49,Oil,,PLN,2000,,
PLTD Sepaso Pemkab,generator,N/A,117.561,0.756,0.92,Oil,,Pemda,2015,,
PLTD Sepaso KPC,generator,N/A,117.561,0.756,0.22,Oil,,Sewa,2015,,
PLTD Sepaso Altrak,generator,N/A,117.561,0.756,1.9,Oil,,Sewa,2015,,
PLTD Sangkulirang,generator,N/A,117.98,0.986,3,Oil,,PLN,1996,,
PLTD Sangkulirang Pemkab,generator,N/A,117.98,0.986,0.8,Oil,,Pemda,2015,,
PLTD Sewa Sentawar Pemkab Kubar,generator,N/A,115.801,-0.242,5.2,Oil,,Swasta,2016,,
PLTD Sentawar,generator,N/A,115.801,-0.242,24.61,Oil,,PLN,2008,,
PLTD Melak,generator,Kalimantan Timur,115.831,-0.212,24.61,Oil,,BUMN,2001,,
PLTD Sambaliung,generator,Kalimantan Timur,117.511,2.158,15.918,Oil,,PLN,1996,,
PLTD Malinau,generator,Kalimantan Utara,116.611,3.541,10.64,Oil,,BUMN,1996,,
PLTD Selor,generator,Kalimantan Utara,117.386,2.832,19.384,Oil,,PLN,1977,,
PLTD Kahayan/Area Palangka Raya,generator,Kalimantan Tengah,113.874,-1.827,17.45,Oil,,PLN,1986,,
PLTD Rayon Sampit,generator,Kalimantan Tengah,112.969,-2.516,3.88,Oil,,PLN,1982,,
PLTD Pangkalan Bun,generator,Kalimantan Tengah,111.731,-2.73,7.12,Oil,,PLN,1983,,
PLTD Rayon Nanga Bulik,generator,Kalimantan Tengah,111.469,-2.187,10.848,Oil,,PLN,1998/2018,,
PLTD Sewa PGL Pangkalan Bun,generator,Kalimantan Tengah,111.731,-2.73,4,Oil,,BUMN,2012,,
PLTD Sewa Kaltimex Pangkalan Bun,generator,Kalimantan Tengah,111.731,-2.73,14,Oil,,BUMN,2012,,
PLTD Sewa UPM Pangkalan Banteng,generator,Kalimantan Tengah,111.824,-2.607,2.5,Oil,,BUMN,2018,,
PLTD Sewa Kaltimex Sampit,generator,Kalimantan Tengah,112.97,-2.516,8,Oil,,BUMN,2012,,
PLTD Kotabaru,generator,Kalimantan Selatan,116.212,-3.254,15.47,Oil,,PLN,1980,,
PLTBm Kotawaringin Barat,generator,Kalimantan Tengah,111.967,-2.052,10,Biomass,,Swasta,2018,,
PLTD Kumai,generator,N/A,111.728,-2.725,11,Oil,,PLN,2004,,
PLTD Muara Teweh,generator,Kalimantan Tengah,114.883,-0.926,8.81,Oil,,PLN,2004,,
PLTD Puruk Cahu,generator,Kalimantan Tengah,114.583,-0.583,2.19,Oil,,PLN,2000,,
PLTD Buntok,generator,N/A,114.822,-1.745,4.01,Oil,,PLN,2004,,
PLTD Sukaharja,generator,Kalimantan Barat,109.977,-1.802,14.799,Oil,,PLN,1987,,
PLTD Kendawangan Kanan,generator,Kalimantan Barat,110.207,-2.532,0.823,Oil,,PLN,1996,,
PLTD Air Hitam,generator,Kalimantan Barat,110.625,-2.793,1.05,Oil,,PLN,2001,,
PLTD Tanjung Satai,generator,Kalimantan Barat,109.682,-1.208,1.084,Oil,,PLN,1996,,
PLTD Dusun Besar,generator,Kalimantan Barat,109.461,-1.11,1.196,Oil,,PLN,1982,,
PLTD Sandai,generator,Kalimantan Barat,110.524,-1.234,1.438,Oil,,PLN,2001,,
PLTD Balai Bekuak,generator,Kalimantan Barat,110.369,-0.522,3.009,Oil,,PLN,1999,,
PLTD Aur Kuning,generator,Kalimantan Barat,110.486,-0.954,2.755,Oil,,PLN,1995,,
PLTD Ulak Medang,generator,Kalimantan Barat,110.29,-1.678,0.04,Oil,,PLN,1994,,
PLTD Sampurna,generator,Kalimantan Barat,110.455,-1.184,0.236,Oil,,PLN,1999,,
PLTD Tumbang Titi,generator,Kalimantan Barat,110.611,-1.846,1.35,Oil,,PLN,2003,,
PLTD Manis Mata,generator,Kalimantan Barat,111.028,-2.448,0.232,Oil,,PLN,1997,,
PLTD Marau,generator,Kalimantan Barat,110.708,-2.125,0.246,Oil,,PLN,1990,,
PLTMH Batu Menang,generator,Kalimantan Barat,110.959,-1.984,0.1,Run_of_River,,PLN,2007,,
PLTD Nanga Tayap,generator,Kalimantan Barat,110.563,-1.516,0.75,Oil,,PLN,N/A,,
PLTD Teluk Melano,generator,Kalimantan Barat,109.951,-1.135,7.98,Oil,,PLN,N/A,,
PLTD Air Upas,generator,Kalimantan Barat,110.8,-2.303,0.695,Oil,,PLN,N/A,,
PLTBm PT Alas Kusuma,generator,Kalimantan Barat,109.972,-1.782,3.5,Biomass,,Excess Power,N/A,,
PLTD PT. Sewatama Ketapang,generator,Kalimantan Barat,109.977,-1.802,0,Oil,,Sewa,N/A,,
PLTD PT. Sewatama Ketapang 1,generator,Kalimantan Barat,109.977,-1.802,7,Oil,,Sewa,N/A,,
PLTD PT. Koperasi Induk PLN KTP,generator,Kalimantan Barat,109.977,-1.802,3,Oil,,Sewa,N/A,,
PLTD PT. Krista Nanga Tayap,generator,Kalimantan Barat,110.563,-1.516,0,Oil,,Sewa,N/A,,
PLTD PT. Tan Energi Marau,generator,Kalimantan Barat,110.708,-2.125,3.5,Oil,,Sewa,N/A,,
PLTD PT. Aggreko Nanga Tayap,generator,Kalimantan Barat,110.572,-1.567,6,Oil,,Sewa,N/A,,
PLTD Sambas,generator,Kalimantan Barat,109.296,1.36,4.095,Oil,,PLN,1977,,
PLTMH Sajingan,generator,Kalimantan Barat,109.643,1.62,0.225,Run_of_River,,PLN,2006,,
PLTD Sentebang,generator,Kalimantan Barat,109.046,1.312,0,Oil,,PLN,1986,,
PLTD Bengkayang,generator,Kalimantan Barat,109.477,0.819,0.5,Oil,,PLN,2003,,
PLTMH Merasap,generator,Kalimantan Barat,109.744,1.124,1.5,Run_of_River,,PLN,2010,,
PLTD Cempaka Putih,generator,Kalimantan Barat,110.057,1.073,0.28,Oil,,PLN,1996,,
PLTD Lemukutan,generator,Kalimantan Barat,108.712,0.76,0.412,Oil,,PLN,2001,,
PLTD Area Singkawang,generator,Kalimantan Barat,108.98,0.912,0.16,Oil,,PLN,N/A,,
PLTS Temajuk,generator,Kalimantan Barat,109.597,2.007,0.08,Solar,,PLN,2012,,
PLTS Sidding,generator,Kalimantan Barat,110.071,1.252,0.04,Solar,,PLN,2013,,
PLTD Temajuk,generator,Kalimantan Barat,109.602,1.997,0.75,Oil,,PLN,2015,,
PLTMH Serawak Energi BHD Sajingan (B),generator,Kalimantan Barat,109.68,1.609,0.8,Run_of_River,,IPP,N/A,,
PLTD Pulau Limbung,generator,Kalimantan Barat,109.859,-0.268,0.44,Oil,,PLN,1997,,
PLTS Pulau Limbung,generator,Kalimantan Barat,109.859,-0.268,0.06,Solar,,PLN,N/A,,
PLTD Tanjung Saleh,generator,Kalimantan Barat,109.148,-0.108,0.77,Oil,,PLN,1999,,
PLTD Sepuk Laut,generator,Kalimantan Barat,109.078,-0.222,0.5,Oil,,PLN,2014,,
PLTD Ngabang,generator,Kalimantan Barat,109.864,0.386,1.72,Oil,,PLN,N/A,,
PLTD Padang Tikar,generator,Kalimantan Barat,109.272,0.682,3.375,Oil,,PLN,N/A,,
PLTD Batu Ampar,generator,Kalimantan Barat,109.537,0.749,0.576,Oil,,PLN,N/A,,
PLTBm PT Harjohn Timber,generator,Kalimantan Barat,109.447,-0.179,5,Biomass,,Excess Power,N/A,,
PLTD PT. Sewatama Ngabang,generator,Kalimantan Barat,109.864,0.386,0,Oil,,Sewa,N/A,,
PLTD Semboja,generator,Kalimantan Barat,110.56,0.135,6,Oil,,PLN,1996,,
PLTD Teraju,generator,Kalimantan Barat,110.104,-0.23,0.368,Oil,,PLN,1989,,
PLTD Kuala Buayan,generator,Kalimantan Barat,110.382,0.106,1.574,Oil,,PLN,1993,,
PLTD Balai Karangan,generator,Kalimantan Barat,110.828,0.435,4.69,Oil,,PLN,1995,,
PLTD Sekadau,generator,Kalimantan Barat,110.89,0.021,2.345,Oil,,PLN,1997,,
PLTD Belitang,generator,Kalimantan Barat,111.24,0.131,3.3,Oil,,PLN,1997,,
PLTD Seberang Kapuas,generator,Kalimantan Barat,111.152,0.106,0,Oil,,PLN,1987,,
PLTD Balai Sepuak,generator,Kalimantan Barat,111.206,0.442,0.996,Oil,,PLN,1980,,
PLTD Menyurai,generator,Kalimantan Barat,111.511,0.086,12.21,Oil,,PLN,1986,,
PLTD Nanga Silat,generator,Kalimantan Barat,111.788,0.343,0.748,Oil,,PLN,1979,,
PLTD Senaning,generator,Kalimantan Barat,111.032,0.908,0.488,Oil,,PLN,1987,,
PLTD Nanga Merakai,generator,Kalimantan Barat,111.517,0.688,0.6,Oil,,PLN,2011,,
PLTD Ketungau,generator,Kalimantan Barat,111.62,0.357,0.213,Oil,,PLN,1993,,
PLTD Tebidah,generator,Kalimantan Barat,112.184,0.252,0.36,Oil,,PLN,1997,,
PLTD Sinar Pekayau,generator,Kalimantan Barat,111.082,0.333,0.505,Oil,,PLN,1997,,
PLTD Nanga Lebang,generator,Kalimantan Barat,111.644,0.218,0.218,Oil,,PLN,1987,,
PLTD Sidomulyo Pinoh,generator,Kalimantan Barat,111.707,-0.342,0.576,Oil,,PLN,2012,,
PLTD Kota Baru,generator,Kalimantan Barat,111.542,-0.8,0.331,Oil,,PLN,1997,,
PLTD Serawai,generator,Kalimantan Barat,112.439,-0.331,1.896,Oil,,PLN,1988,,
PLTD Manukung,generator,Kalimantan Barat,112.227,-0.418,0.232,Oil,,PLN,1998,,
PLTD Nanga Ella,generator,Kalimantan Barat,112.003,-0.398,1.445,Oil,,PLN,2005,,
PLTD Nanga Sayan,generator,Kalimantan Barat,111.676,-0.714,1.029,Oil,,PLN,1993,,
PLTD Bora,generator,Kalimantan Barat,111.764,-0.628,1.078,Oil,,PLN,1997,,
PLTMH Bora,generator,Kalimantan Barat,111.775,-0.633,0.2,Run_of_River,,PLN,N/A,,
PLTD Tontang,generator,Kalimantan Barat,112.223,-0.269,0.216,Oil,,PLN,1989,,
PLTD Kalan,generator,Kalimantan Barat,111.741,-0.336,0.17,Oil,,PLN,1998,,
PLTD Kayan,generator,Kalimantan Barat,111.69,-0.172,0.337,Oil,,PLN,1993,,
PLTD Kemangai,generator,Kalimantan Barat,112.71,-0.243,0.216,Oil,,PLN,1988,,
