" ,node,type,lon,lat,p_nom, "
" ,PLTD_Atap,generator,117.049,3.855,0.3, "
" ,PLTD_Tanah_Merah,generator,117.54,3.764,0.43, "
" ,PLTD_Sekatak_Pemkab,generator,117.07,3.307,0.426, "
" ,PLTD_Sekatak,generator,117.07,3.307,0.6, "
" ,PLTD_Malinau_Pemkab,generator,116.611,3.541,7.672, "
" ,PLTD_Biduk-Biduk,generator,118.746,1.216,1.64, "
" ,PLTD_Malinau_Kaltimex,generator,116.611,3.541,2, "
" ,PLTD_KTT_Pemkab,generator,116.933,3.608,3.68, "
" ,PLTD_KTT,generator,116.933,3.608,3.81, "
" ,PLTD_Selor_Sewatama,generator,117.386,2.832,2, "
" ,PLTD_Selor_Makro,generator,117.386,2.832,7.3, "
" ,PLTD_Long_Peso,generator,116.781,2.691,0.443, "
" ,PLTD_Mara,generator,116.239,2.75,0.5, "
" ,PLTD_Long_Beluah,generator,116.121,2.738,0.5, "
" ,PLTD_Nunukan,generator,117.64,4.134,11.198, "
" ,PLTD_Nunukan_Pemkab,generator,117.64,4.134,7.02, "
" ,PLTD_Sebatik,generator,117.909,4.147,6.712, "
" ,PLTS_Sebatik,generator,117.909,4.147,0.34, "
" ,PLTD_Tanjung_Batu,generator,118.092,2.278,1.43, "
" ,PLTD_Talisayan_Pemkab,generator,118.177,1.605,0.8, "
" ,PLTD_Talisayan,generator,118.177,1.605,2.25, "
" ,PLTD_Talisayan_PT_IPB,generator,118.177,1.605,1, "
" ,PLTBm_Talisayan_DL,generator,118.177,1.605,0.26, "
" ,PLTD_Gunung_Sari,generator,117.116,2.185,0.57, "
" ,PLTBm_Gunung_Sari_HHM,generator,117.117,2.185,0.2, "
" ,PLTD_Derawan,generator,118.243,2.286,1.27, "
" ,PLTS_Derawan,generator,118.243,2.286,0.09, "
" ,PLTD_Batu_Putih,generator,118.446,1.352,0.82, "
" ,PLTD_Merasa,generator,117.251,1.806,0.28, "
" ,PLTD_Tubaan,generator,117.859,1.818,0.455, "
" ,PLTD_Krayan,generator,115.7,3.883,0.8, "
" ,PLTMH_Krayan_Pemkab,generator,115.7,3.883,0.08, "
" ,PLTMH_Krayan,generator,115.7,3.883,0.16, "
" ,PLTD_Seimenggaris,generator,117.341,4.188,0.6, "
" ,PLTS_Seimenggaris_ESDM,generator,117.341,4.188,0.1, "
" ,PLTD_Sebuku,generator,117.023,4.063,0.695, "
" ,PLTS_Sebuku_ESDM,generator,117.023,4.063,0.1, "
" ,PLTD_Tulin_Onsoi,generator,116.992,4.18,1, "
" ,PLTS_Tulin_Onsoi_ESDM,generator,116.992,4.18,0.1, "
" ,PLTS_Sebatik_ESDM,generator,117.802,4.153,0.2, "
" ,PLTD_Lumbis_Ogong,generator,116.548,3.93,0.5, "
" ,PLTS_Lumbis_Ogong_ESDM,generator,116.548,3.93,0.1, "
" ,PLTD_Kayan_Hulu,generator,114.91,1.785,1.275, "
" ,PLTS_Kayan_Hulu_ESDM,generator,117.595,3.304,0.1, "
" ,PLTD_Tarakan,generator,117.595,3.304,15.2639999999999, "
" ,PLTD_Sewa_Tarakan,generator,117.595,3.303,17, "
" ,PLTG_Trisakti,generator,114.57,-3.31,21, "
" ,PLTMG_Bangkanai_Blok_#01,generator,115.137,-0.622,39.076, "
" ,PLTMG_Bangkanai_Blok_#02,generator,115.137,-0.623,39.076, "
" ,PLTMG_Bangkanai_Blok_#03,generator,115.137,-0.623,39.076, "
" ,PLTMG_Bangkanai_Blok_#04,generator,115.137,-0.623,39.076, "
" ,PLTU_Asam_Asam_#01,generator,115.105,-3.927,65, "
" ,PLTU_Asam_Asam_#02,generator,115.106,-3.926,65, "
" ,PLTU_Asam_Asam_#03,generator,115.106,-3.926,65, "
" ,PLTU_Asam_Asam_#04,generator,115.106,-3.926,65, "
" ,PLTU_Pulang_Pisau_#01,generator,114.209,-2.823,60, "
" ,PLTU_Pulang_Pisau_#02,generator,114.209,-2.823,60, "
" ,PLTMG_Bontang_Wartsila_#01,generator,117.454,0.137,6.97, "
" ,PLTMG_MPP_Kaltim_#03,generator,117.454,0.138,9.77999999999999, "
" ,PLTMG_MPP_Kaltim_#04,generator,117.454,0.138,9.77999999999999, "
" ,PLTMG_MPP_Kaltim_#01,generator,117.454,0.138,9.77999999999999, "
" ,PLTMG_MPP_Kaltim_#02,generator,117.454,0.138,9.77999999999999, "
" ,PLTMG_Bontang_Wartsila_#02,generator,117.454,0.137,6.97, "
" ,PLTU_Teluk_Balikpapan_#01,generator,116.789,-1.17,110, "
" ,PLTU_Teluk_Balikpapan_#02,generator,116.789,-1.17,110, "
" ,PLTGU_Tanjung_Batu_#01,generator,117.051,-0.382,20, "
" ,PLTGU_Tanjung_Batu_#02,generator,117.051,-0.381,20, "
" ,PLTGU_Tanjung_Batu_#03,generator,117.051,-0.381,20, "
" ,PLTG_Peaking_#01,generator,117.052,-0.384,70, "
" ,PLTG_Peaking_#02,generator,117.052,-0.384,70, "
" ,PLTG_Sambera_#01,generator,117.291,-0.317,20, "
" ,PLTG_Sambera_#02,generator,117.292,-0.317,20, "
" ,PLTG_Siantan,generator,109.327,-0.001,34, "
" ,PLTU_Parit_Baru_Site Bengkayang #01,generator,108.874,0.837,55, "
" ,PLTU_Sanggau_#01,generator,110.556,0.03,7, "
" ,PLTU_Sanggau_#02,generator,110.556,0.03,7, "
" ,PLTU_Sintang_#01,generator,111.434,0.074,9, "
" ,PLTU_Sintang_#02,generator,111.434,0.074,9, "
" ,PLTU_Sintang_#03,generator,111.434,0.074,9, "
" ,PLTU_Ketapang_#01,generator,109.942,-1.782,10, "
" ,PLTU_Ketapang_#02,generator,109.942,-1.782,10, "
" ,PLTMG_Kaltimex,generator,117.053,-0.383,9.6, "
" ,PLTMG_SW_Petung_(PT._Benuo_Taka_Energy)_#01,generator,116.74,-1.291,1, "
" ,PLTMG_SW_Petung_(PT._Benuo_Taka_Energy)_#02,generator,116.74,-1.291,1, "
" ,PLTMG_SW_Petung_(PT._Benuo_Taka_Energy)_#03,generator,116.74,-1.291,1, "
" ,PLTMG_SW_Petung_(PT._Benuo_Taka_Energy)_#04,generator,116.74,-1.291,1, "
" ,PLTU_PT._Conch_South_Kalimantan_Cement_(SKC),generator,115.57,-2.063,15, "
" ,PLTU_Dua_Samudera_Perkasa_(DSP),generator,116.029,-3.309,6, "
" ,PLTU_Rimau_Electric,generator,115.127,-2.018,7, "
" ,PLTMG_Belimbing,generator,117.451,0.166,8, "
" ,PLTU_Kariangau_(PT._Kariangau_Power)_#01,generator,116.801,-1.199,15, "
" ,PLTU_Kariangau_(PT._Kariangau_Power)_#02,generator,116.801,-1.199,15, "
" ,PLTU_Senoni_#01,generator,117.093,-0.543,7.5, "
" ,PLTU_Senoni_#02,generator,117.093,-0.544,7.5, "
" ,PLTU_Rimba_Raya,generator,117.035,-0.547,7.5, "
" ,PLTU_MT_Kaltim_(Muara_Jawa)_#01,generator,117.189,-0.78,33, "
" ,PLTU_MT_Kaltim_(Muara_Jawa)_#02,generator,117.189,-0.78,33, "
" ,PLTU_Kalsel-1_(PT._Tanjung_Power_Indonesia)_#01,generator,115.442,-2.162,115, "
" ,PLTU_Kalsel-1_(PT._Tanjung_Power_Indonesia)_#02,generator,115.443,-2.162,115, "
" ,PLTG_Senipah_#01,generator,117.135,-0.988,46, "
" ,PLTG_Senipah_#02,generator,117.136,-0.987,46, "
" ,PLTU_Embalut_(PT._Cahaya_Fajar_Kaltim)_#01,generator,117.062,-0.373,25, "
" ,PLTU_Embalut_(PT._Cahaya_Fajar_Kaltim)_#02,generator,117.062,-0.373,25, "
" ,PLTU_Embalut_Ekspansi_(PT._Cahaya_Fajar_Kaltim),generator,117.063,-0.373,50, "
" ,PLTMG_MPP_PLN_Batam_(MPP_Pontianak),generator,109.204,0.059,100, "
" ,PLTD_Kuala_Kurun_#01_(MWM),generator,113.873,-1.117,0.22, "
" ,PLTD_Kuala_Kurun_#02_(DEUTZ_MWM),generator,113.873,-1.117,0.528, "
" ,PLTD_Kuala_Kurun_#03_MITSUBISHI),generator,113.872,-1.117,1.33, "
" ,PLTD_Kuala_Kurun_#04_MITSUBISHI),generator,113.872,-1.117,1.33, "
" ,PLTD_Kuala_Kurun_#05_MITSUBISHI),generator,113.872,-1.117,1.33, "
" ,PLTD_Kuala_Pembuang_#01_(MWM),generator,112.545,-3.39,0.22, "
" ,PLTD_Kuala_Pembuang_#05_(MITSUBISHI),generator,112.545,-3.39,1.33, "
" ,PLTD_Kuala_Pembuang_#06_(MITSUBISIH),generator,112.545,-3.39,1.33, "
" ,PLTD_Kuala_Pembuang_#07_(MITSUBISHI),generator,112.545,-3.39,1.33, "
" ,PLTD_Kuala_Pembuang_#08_(MITSUBISHI),generator,112.545,-3.39,1.33, "
" ,PLTD_Sukamara_#03_(MWM),generator,111.164,-2.717,0.22, "
" ,PLTD_Sukamara_#04_(DEUTZ),generator,111.164,-2.717,0.24, "
" ,PLTD_Sukamara_#05_(DEUTZ_AG),generator,111.164,-2.717,0.7, "
" ,PLTD_Sukamara_#06_(MTU),generator,111.164,-2.717,0.528, "
" ,PLTD_Sukamara_#07_(MITSUBITSI),generator,111.164,-2.717,1.33, "
" ,PLTD_Sukamara_#08_(MITSUBITSI),generator,111.164,-2.717,1.33, "
" ,PLTD_Sukamara_#09_(MITSUBITSI),generator,111.164,-2.717,1.33, "
" ,PLTU_PT._Smart_Tarjun_Refinery,generator,116.119,-3.271,3.2, "
" ,PLTD_Sewa_UPM_Kuala_Kurun,generator,113.872,-1.117,2, "
" ,PLTD_Sewa_DKK_Kuala_Pembuang,generator,112.545,-3.39,3, "
" ,PLTD_DKK_Sukamara,generator,111.164,-2.717,2.4, "
" ,PLTU_Pangkalan_Bun_(PT._Eksploitasi_Energi_Indonesia),generator,111.703,-2.771,14, "
" ,PLTD_Kuala_Pembuang_#02_(DEUTZ_MWM),generator,112.545,-3.39,0.528, "
" ,PLTD_Kuala_Pembuang_#03_(DEUTZ_MWM),generator,112.545,-3.39,0.528, "
" ,PLTD_Kuala_Pembuang_#04_(DEUTZ_MWM),generator,112.545,-3.39,0.528, "
" ,PLTD_Sukamara_#01_(MAN),generator,111.164,-2.717,0.536, "
" ,PLTD_Sukamara_#02_(MAN),generator,111.164,-2.717,0.536, "
" ,PLTU_Lati_(PT._Indo_Pusaka_Berau),generator,117.619,2.215,21, "
" ,PLTU_Sangatta_(PT._Kaltim_Prima_Coal)_Ex_Sektor Mahakam,generator,117.635,0.539,18, "
" ,PLTMG_Gunung_Belah_#01,generator,117.596,3.304,6, "
" ,PLTMG_Gunung_Belah_#02,generator,117.596,3.304,6, "
" ,PLTMG_Bunyu_(PT._Prastiwahyu),generator,117.845,3.475,2, "
" ,PLTMG_Sw_Tanah_Merah_(KSO_PT._TAN_Energy),generator,117.535,3.764,0.6, "
" ,PLTMG_Nunukan_KSO_Bugak,generator,117.64,4.133,6, "
" ,PLTMG_Sw_Tarakan_(PT._PLN_Tarakan_-_PT._Atamora),generator,117.596,3.304,1.7, "
" ,PLTG_Sw_Tarakan_(PT._PLN_Tarakan_-_Perusda),generator,117.596,3.304,1, "
" ,PLTMG_Sw_Tarakan_II_(PT._PLN_Tarakan_-_PT._Max_Power),generator,117.654,3.343,1.6, "
" ,PLTMG_Sw_Tarakan_II_(PT._PLN_Tarakan_-_PT._Sewatama),generator,117.654,3.343,1.7, "
" ,PLTMG_Sw_Tarakan_I_(PT._PLN_Tarakan_-_PT._Max_Power),generator,117.654,3.343,4.5, "
" ,PLTMG_Sw_Tarakan_III_(PT._PLN_Tarakan_-_PT._Max_Power),generator,117.654,3.343,3, "
" ,PLTMG_Sw_Tarakan_IV_(PT._PLN_Tarakan_-_PT._Max_Power),generator,117.654,3.343,2.5, "
" ,PLTU_PT._Idec_Abadi_Wood_Industries_(AWI),generator,117.612,3.292,7, "
" ,PLTU_PT._Indocement_Tunggal_Perkasa,generator,116.108,-3.273,55, "
" ,PLTU_PT._Makmur_Sejahtera_Wisesa,generator,115.445,-2.158,60, "
" ,PLTG_PLN_Tarakan_#01,generator,117.596,3.303,15.6999999999999, "
" ,PLTMG_PLN_Tarakan,generator,117.596,3.303,30, "
" ,PLTG_PLN_Tarakan_#02,generator,117.596,3.304,23.6, "
" ,PLTU_PT._Sumber_Alam_Sekurau_(SAS),generator,117.521,2.794,7.5, "
" ,PLTU_PT._Wijaya_Triutama_Plywood_Industri,generator,114.562,-3.336,45, "
" ,PLTU_PT._Kaltim_Daya_Mandiri,generator,117.497,0.175,34, "
" ,PLTU_PT._Kalimantan_Powerindo,generator,116.837,-0.32,15, "
" ,PLTU_Tembilok_(IPP_Ketapang)_#01,generator,109.952,-1.782,7.5, "
" ,PLTU_Tembilok_(IPP_Ketapang)_#02,generator,109.952,-1.782,7.5, "
" ,PLTU_Parit_Baru_Site_Bengkayang_#02,generator,108.874,0.837,55, "
" ,PLTMG_Tanjung_Selor_Unit_2,generator,117.367,2.814,8.912, "
" ,PLTU_Kaltim_(FTP2)_Unit_1,generator,117.492,0.054,100, "
" ,PLTU_Tanjung_Redep_/_Berau_#02,generator,117.393,2.156,9.13, "
" ,PLTU_Kaltim_(FTP2)_Unit_2,generator,117.492,0.055,125, "
" ,PLTMG_Tanjung_Selor_Unit_1,generator,117.367,2.814,8.912, "
" ,PLTU_Kaltim_4_(Ekspansi-2_Embalut)_#01,generator,117.066,-0.364,115, "
" ,PLTU_Kaltim_4_(Ekspansi-2_Embalut)_#02,generator,117.066,-0.364,115, "
" ,PLTU_Tanjung_Redep_/_Berau_#01,generator,117.393,2.156,9.5, "
" ,PLTBg_Suka_Damai,generator,115.773,-3.341,2.4, "
" ,PLTU_Kalselteng_1_(PT._SKS_Listrik_Kalimantan)_#01,generator,113.567,-1.374,115.034, "
" ,PLTU_Kalselteng_1_(PT._SKS_Listrik_Kalimantan)_#02,generator,113.567,-1.374,115.034, "
" ,PLTD_Kuala_Pembuang_Unit_7,generator,112.545,-3.39,1.33, "
" ,PLTU_Kalbar_1_Unit_1,generator,108.846,0.815,125, "
" ,PLTGU_Senipah_(ST),generator,117.136,-0.987,29.55, "
" ,PLTD_Kuala_Pembuang_Unit_9,generator,112.545,-3.39,1, "
" ,PLTU_Kalbar_1_Unit_2,generator,108.846,0.816,125, "
" ,PLTD_Kuala_Kurun_Unit_2-3,generator,113.872,-1.117,2.66, "
" ,PLTD_Kuala_Kurun_Unit_4,generator,113.872,-1.117,1.33, "
" ,PLTD_Gunung_Purei_Unit_123,generator,115.62,-1.133,0.38, "
" ,PLTD_Simpang_Sepaku_Mitsubishi_Unit_56,generator,111.503,-2.209,2.66, "
" ,PLTD_Simpang_Sepaku_Mitsubishi_Unit_9,generator,111.502,-2.209,1.33, "
" ,PLTD_Kartamulia_Sukamara_Mitsubishi_Unit_78,generator,111.211,-2.685,2.66, "
" ,GI_Sambas,substation,109.2688,1.3429,500, "
" ,GI_Singkawang,substation,108.9876,0.9266,500, "
" ,GI_PLTU_3_Kalbar,substation,108.8747,0.8361,500, "
" ,GI_PLTU_2_Kalbar,substation,108.8653,0.83,500, "
" ,GI_Senggiring,substation,108.9853,0.3162,500, "
" ,GI_Parit_Baru,substation,109.2055,0.0592,500, "
" ,GI_Kota_Baru,substation,109.2987,-0.0754,500, "
" ,GI_Siantan,substation,109.328,-0.0002,500, "
" ,GI_Sei_Raya,substation,109.3809,-0.0735,500, "
" ,GI_Tayan,substation,110.0932,0.0015,500, "
" ,GI_Ngabang,substation,110.001,0.3534,500, "
" ,GI_Bengkayang,substation,109.4967,0.9056,500, "
" ,GITET_Bengkayang,substation,109.4966,0.9066,500, "
" ,GI_Pangkalanbun,substation,111.7037,-2.6152,500, "
" ,GI_Sampit,substation,112.9207,-2.4816,500, "
" ,GI_PLTU_Sampit,substation,112.9101,-2.7625,500, "
" ,GI_Kasongan,substation,113.4337,-1.9002,500, "
" ,GI_Palangkaraya,substation,113.8739,-2.1748,500, "
" ,GI_Sebangau,substation,113.9302,-2.2748,500, "
" ,GI_Pulau_Pisang,substation,114.2547,-2.7316,500, "
" ,GI_S_Mintin,substation,114.2086,-2.8214,500, "
" ,GI_Selat,substation,114.3736,-3.0121,500, "
" ,GI_Seberang_Barito,substation,114.5522,-3.2767,500, "
" ,GI_Trisakti,substation,114.571,-3.3094,500, "
" ,GI_Mantuil,substation,114.627,-3.4236,500, "
" ,GI_Asam-asam,substation,115.1049,-3.9253,500, "
" ,GI_Satui,substation,115.519,-3.7127,500, "
" ,GI_Batulicin,substation,115.9862,-3.4822,500, "
" ,GI_Cempaka,substation,114.8499,-3.4658,500, "
" ,GI_Pelaihari,substation,114.7576,-3.7296,500, "
" ,GI_Bandara,substation,114.7553,-3.4725,500, "
" ,GI_Rantau,substation,115.126,-3.0289,500, "
" ,GI_Barikin,substation,115.3276,-2.6843,500, "
" ,GI_Kayutangi,substation,114.6205,-3.2304,500, "
" ,GI_Amuntai,substation,115.2949,-2.4171,500, "
" ,GI_Tanjung,substation,115.4505,-2.1953,500, "
" ,GI_Buntok,substation,114.9788,-1.7459,500, "
" ,GI_Muara_Teweh,substation,114.8658,-0.8672,500, "
" ,GI_Bangkanai,substation,115.1385,-0.6212,500, "
" ,GI_Muara_Komam,substation,115.8694,-1.828,500, "
" ,GI_Kuaro,substation,116.0945,-1.8032,500, "
" ,GI_Grogot,substation,116.1656,-1.8984,500, "
" ,GI_Longikis,substation,116.3231,-1.5161,500, "
" ,GI_Petung,substation,116.6719,-1.3408,500, "
" ,GI_Kariangau,substation,116.792,-1.1657,500, "
" ,GI_Karangjoang,substation,116.8777,-1.1488,500, "
" ,GI_Manggar_Sari,substation,116.9488,-1.2383,500, "
" ,GI_Industri,substation,116.8411,-1.262,500, "
" ,GI_Senipah,substation,117.135,-0.9869,500, "
" ,GI_Harapan_Baru,substation,117.1063,-0.547,500, "
" ,GI_Tengkawang,substation,117.1136,-0.5024,500, "
" ,GI_Embalut,substation,117.0518,-0.3816,500, "
" ,GI_Bukit_Biru,substation,116.978,-0.456,500, "
" ,GI_Kotabangun,substation,116.5953,-0.2716,500, "
" ,GI_Bukuan,substation,117.193,-0.5832,500, "
" ,GI_Muara_Jawa,substation,117.1886,-0.7806,500, "
" ,GI_Sambutan,substation,117.2139,-0.5242,500, "
" ,GI_Muara_Badak,substation,117.2925,-0.316,500, "
" ,GI_Teluk_Pandan,substation,117.435,0.1614,500, "
" ,GI_Sangatta,substation,117.5693,0.4701,500, "
" ,GI_Malinau,substation,116.6286,3.5114,500, "
" ,GI_Tideng_Pale,substation,116.8411,3.5748,500, "
