nodeA,nodeB,bus0,bus1,voltage,cables,wires,frequency,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,lon0,lat0,lon1,lat1,wkt_srid_4326
PLTD Belikai,,,,,,,,,,,,,112.137,0.33,,,
PLTD Kantuk,,,,,,,,,,,,,110.607,0.124,,,
PLTD Piasak,,,,,,,,,,,,,112.723,0.659,,,
PLTD Nibung,,,,,,,,,,,,,112.178,0.334,,,
PLTD Ujung Said,,,,,,,,,,,,,112.378,0.67,,,
PLTD Pulau Majang,,,,,,,,,,,,,111.994,0.901,,,
PLTD Ulak Pauk,,,,,,,,,,,,,112.491,1.062,,,
PLTD Badau,,,,,,,,,,,,,111.903,1.044,,,
PLTD Jasa,,,,,,,,,,,,,111.148,1.004,,,
PLTMH Serawak Energi BHD Badau (B),,,,,,,,,,,,,111.872,1.033,,,
PLTMH Serawak Energi BHD Balai Karangan (B),,,,,,,,,,,,,110.355,0.988,,,
PLTD Sewatama Semboja,,,,,,,,,,,,,110.56,0.135,,,
PLTD Sewatama Semboja 2,,,,,,,,,,,,,110.561,0.135,,,
PLTD Aggreko Semboja,,,,,,,,,,,,,110.56,0.134,,,
PLTD Koperasi IP Semboja,,,,,,,,,,,,,110.561,0.134,,,
PLTD ENSAS Sekadau,,,,,,,,,,,,,110.89,0.021,,,
PLTD Sewatama Menyurai 1,,,,,,,,,,,,,111.511,0.086,,,
PLTD Sewatama Menyurai 2,,,,,,,,,,,,,111.511,0.086,,,
PLTD Aggreko Menyurai,,,,,,,,,,,,,111.511,0.085,,,
PLTD Sewatama Pinoh,,,,,,,,,,,,,111.707,-0.342,,,
PLTD Makro SPE Pinoh,,,,,,,,,,,,,111.707,-0.342,,,
PLTD Sewatama Sibau,,,,,,,,,,,,,112.927,0.885,,,
PLTD Makro SPE Sibau,,,,,,,,,,,,,112.927,0.885,,,
PLTD Makro SPE Balai Karanga,,,,,,,,,,,,,110.828,0.435,,,
PLTD Makro SPE Semitau,,,,,,,,,,,,,111.96,0.543,,,
PLTD Makro SPE Kota Baru,,,,,,,,,,,,,111.542,0.8,,,
PLTD Makro SPE Tepuai,,,,,,,,,,,,,112.303,0.37,,,
PLTD Makro Sintang,,,,,,,,,,,,,111.511,0.085,,,
PLTD ULD Benua Riam,,,,,,,,,,,,,115.226,-3.094,,,
PLTD ULD Rantau Bujur,,,,,,,,,,,,,115.199,-3.082,,,
PLTD ULD Tumbang Jutuh,,,,,,,,,,,,,113.572,-1.289,,,
PLTD ULD Tumbang Talaken,,,,,,,,,,,,,113.378,-1.361,,,
PLTD ULD Tewah,,,,,,,,,,,,,112.122,-1.936,,,
PLTD ULD Tumbang Miri,,,,,,,,,,,,,113.55,-0.916,,,
PLTD ULD Tumbang Tambirah,,,,,,,,,,,,,113.823,-1.065,,,
PLTD ULD Tumbang Miwan,,,,,,,,,,,,,113.872,-1.217,,,
PLTD ULD Tumbang Kaman,,,,,,,,,,,,,113.093,-1.346,,,
PLTD ULD Tumbang Hiran,,,,,,,,,,,,,112.691,-1.188,,,
PLTD ULD Tumbang Senamang,,,,,,,,,,,,,112.425,-1.161,,,
PLTD ULD Telaga,,,,,,,,,,,,,113.33,-2.421,,,
PLTD Pagatan,,,,,,,,,,,,,113.33,-3.256,,,
PLTD Telaga Pulang,,,,,,,,,,,,,112.27,-2.864,,,
PLTD Mendawai,,,,,,,,,,,,,113.269,-2.989,,,
PLTD Pangkut,,,,,,,,,,,,,111.92,-2.192,,,
PLTD Kenambui,,,,,,,,,,,,,111.792,-2.476,,,
PLTD Rantau Pulut,,,,,,,,,,,,,112.186,-2.048,,,
PLTD Sukamandang,,,,,,,,,,,,,112.186,-2.048,,,
PLTD Tumbang Manjul,,,,,,,,,,,,,111.928,-1.301,,,
PLTD Kuala Jelai,,,,,,,,,,,,,110.739,-2.985,,,
PLTD Balai Riam,,,,,,,,,,,,,111.182,-2.992,,,
PLTD Mentobi Raya,,,,,,,,,,,,,111.694,-1.986,,,
PLTD Kudangan,,,,,,,,,,,,,111.043,-1.61,,,
PLTD Tapin Bini,,,,,,,,,,,,,111.317,-1.892,,,
PLTBg Maju Aneka Sawit,,,,,,,,,,,,,112.542,-2.38,,,
PLTBg Sukajadi Sawit Mekar,,,,,,,,,,,,,112.455,-2.399,,,
PLTBg Unggul Lestari,,,,,,,,,,,,,112.598,-1.596,,,
PLTD UPM Parenggean,,,,,,,,,,,,,112.653,-1.881,,,
PLTBm Korintiga Hutani,,,,,,,,,,,,,111.824,-2.607,,,
PLTD Gn. Batu Besar,,,,,,,,,,,,,116.294,-2.622,,,
PLTD Sei Bali,,,,,,,,,,,,,116.407,-3.408,,,
PLTD Semaras,,,,,,,,,,,,,116.082,-3.823,,,
PLTD Lontar,,,,,,,,,,,,,116.064,-3.978,,,
PLTD Kerasian,,,,,,,,,,,,,116.203,-4.027,,,
PLTD Tanjung Seloka,,,,,,,,,,,,,116.306,-3.9,,,
PLTD Geronggang,,,,,,,,,,,,,116.207,-2.857,,,
PLTD Tanjung Batu,,,,,,,,,,,,,116.222,-3.005,,,
PLTD Sampanahan,,,,,,,,,,,,,116.187,-2.641,,,
PLTD Sei Durian,,,,,,,,,,,,,116.162,-2.509,,,
PLTD Sengayam,,,,,,,,,,,,,115.995,-2.367,,,
PLTD Marabatuan,,,,,,,,,,,,,115.81,-4.369,,,
PLTD Tanjung Samalantakan,,,,,,,,,,,,,116.415,-2.566,,,
PLTD Bakau,,,,,,,,,,,,,116.196,-2.443,,,
PLTD Mulyaharja,,,,,,,,,,,,,116.322,-2.35,,,
PLTD Kerayaan,,,,,,,,,,,,,116.207,-4.091,,,
PLTD Kerumputan,,,,,,,,,,,,,116.172,-4.049,,,
PLTD Sewa Kaltimex Kotabaru,,,,,,,,,,,,,116.212,-3.254,,,
PLTD Timpah,,,,,,,,,,,,,114.479,-1.719,,,
PLTD Sebangau,,,,,,,,,,,,,113.639,-3.148,,,
PLTD Pujon,,,,,,,,,,,,,114.364,-1.349,,,
PLTD Sungai Hanyu,,,,,,,,,,,,,114.016,-0.927,,,
PLTD Pendang,,,,,,,,,,,,,114.874,-1.506,,,
PLTD Tanjung Jawa,,,,,,,,,,,,,114.835,-1.565,,,
PLTD Muara Plantau,,,,,,,,,,,,,115.001,-1.939,,,
PLTD Bundar,,,,,,,,,,,,,114.93,-1.478,,,
PLTD Merawan Lama,,,,,,,,,,,,,114.884,-1.451,,,
PLTD Babai,,,,,,,,,,,,,114.836,-1.954,,,
PLTD Mangkatip,,,,,,,,,,,,,114.851,-2.224,,,
PLTD Teluk Betung,,,,,,,,,,,,,114.863,-1.978,,,
PLTD Rangga Ilung,,,,,,,,,,,,,114.871,-2.34,,,
PLTD Damparan,,,,,,,,,,,,,114.868,-2.138,,,
PLTD Benangin,,,,,,,,,,,,,115.088,-0.978,,,
PLTD Tumpung Laung,,,,,,,,,,,,,114.816,-1.321,,,
PLTD Luwe Hulu,,,,,,,,,,,,,114.941,-0.795,,,
PLTD Montalat,,,,,,,,,,,,,114.894,-1.323,,,
PLTD Kandui,,,,,,,,,,,,,115.119,-1.257,,,
PLTD Sabuh,,,,,,,,,,,,,114.976,-0.971,,,
PLTD Muara Laung,,,,,,,,,,,,,114.732,-0.599,,,
PLTD Tumbang Lahung,,,,,,,,,,,,,114.302,-0.695,,,
PLTD PT. Kaltimex Energy (Puruk Cahu),,,,,,,,,,,,,114.583,-0.583,,,
PLTD Karangan,,,,,,,,,,,,,117.673,1.35,,,
PLTBm Karangan DL,,,,,,,,,,,,,117.673,1.35,,,
PLTD Pengadan,,,,,,,,,,,,,117.673,1.35,,,
PLTD Muara Wahau Altrak,,,,,,,,,,,,,116.843,1.045,,,
PLTD Batu Ampar,,,,,,,,,,,,,116.831,0.679,,,
PLTD Senyiur,,,,,,,,,,,,,116.623,0.312,,,
PLTD Senyiur Pemkab,,,,,,,,,,,,,116.623,0.312,,,
PLTD Long Segar,,,,,,,,,,,,,116.821,0.798,,,
PLTD Gemar Baru,,,,,,,,,,,,,116.376,0.801,,,
PLTD Gemar Baru Pemkab,,,,,,,,,,,,,116.376,0.801,,,
PLTD Muara Pantuan,,,,,,,,,,,,,117.569,-0.58,,,
PLTD Melak Pemkab,,,,,,,,,,,,,115.832,-0.212,,,
PLTD Melak Sewatama,,,,,,,,,,,,,115.831,-0.212,,,
PLTD Melak Kaltimex,,,,,,,,,,,,,115.832,-0.212,,,
PLTD Long Iram,,,,,,,,,,,,,115.633,0.013,,,
PLTD Long Iram Pemkab,,,,,,,,,,,,,115.633,0.013,,,
PLTD Muara Pahu,,,,,,,,,,,,,116.064,-0.325,,,
PLTD Datah Bilang,,,,,,,,,,,,,115.464,0.226,,,
PLTD Long Bagun,,,,,,,,,,,,,115.237,0.226,,,
PLTD Long Bagun Pemkab,,,,,,,,,,,,,115.257,0.206,,,
PLTD Dilang Putih,,,,,,,,,,,,,115.766,-0.717,,,
PLTD Tabisaq,,,,,,,,,,,,,115.921,-0.497,,,
PLTD Kelumpang,,,,,,,,,,,,,115.823,-0.173,,,
PLTD Muara Muntai,,,,,,,,,,,,,116.474,-0.643,,,
PLTD Penyinggahan,,,,,,,,,,,,,116.223,-0.387,,,
PLTD Tanjung Isuy,,,,,,,,,,,,,116.14,-0.514,,,
PLTD Muara Siran,,,,,,,,,,,,,116.636,-0.128,,,
PLTD Muara Kedang,,,,,,,,,,,,,116.298,-0.567,,,
PLTD Semayang,,,,,,,,,,,,,116.452,-0.183,,,
PLTD Jantur,,,,,,,,,,,,,116.29,-0.42,,,
PLTD Tabang,,,,,,,,,,,,,115.927,0.673,,,
PLTD Muara Aloh,,,,,,,,,,,,,116.352,-0.432,,,
PLTD Sedulang,,,,,,,,,,,,,116.811,-0.125,,,
PLTD Long Apari,,,,,,,,,,,,,114.534,0.812,,,
PLTD Long Pahangai,,,,,,,,,,,,,114.709,0.883,,,
PLTBg Rea Kaltim,,,,,,,,,,,,,115.801,-0.242,,,
PLTD Samabliung Kaltimex,,,,,,,,,,,,,117.511,2.158,,,
PLTD Bunyu,,,,,,,,,,,,,117.845,3.469,,,
PLTD Atap,,,,,,,,,,,,,117.049,3.855,,,
PLTD Tanah Merah,,,,,,,,,,,,,117.54,3.764,,,
PLTD Sekatak Pemkab,,,,,,,,,,,,,117.07,3.307,,,
PLTD Sekatak,,,,,,,,,,,,,117.07,3.307,,,
PLTD Malinau Pemkab,,,,,,,,,,,,,116.611,3.541,,,
PLTD Biduk-Biduk,,,,,,,,,,,,,118.746,1.216,,,
PLTD Malinau Kaltimex,,,,,,,,,,,,,116.611,3.541,,,
PLTD KTT Pemkab,,,,,,,,,,,,,116.933,3.608,,,
PLTD KTT,,,,,,,,,,,,,116.933,3.608,,,
PLTD Selor Sewatama,,,,,,,,,,,,,117.386,2.832,,,
PLTD Selor Makro,,,,,,,,,,,,,117.386,2.832,,,
PLTD Long Peso,,,,,,,,,,,,,116.781,2.691,,,
PLTD Mara,,,,,,,,,,,,,116.239,2.75,,,
PLTD Long Beluah,,,,,,,,,,,,,116.121,2.738,,,
PLTD Nunukan,,,,,,,,,,,,,117.64,4.134,,,
PLTD Nunukan Pemkab,,,,,,,,,,,,,117.64,4.134,,,
PLTD Sebatik,,,,,,,,,,,,,117.909,4.147,,,
PLTS Sebatik,,,,,,,,,,,,,117.909,4.147,,,
PLTD Tanjung Batu,,,,,,,,,,,,,118.092,2.278,,,
PLTD Talisayan Pemkab,,,,,,,,,,,,,118.177,1.605,,,
PLTD Talisayan,,,,,,,,,,,,,118.177,1.605,,,
PLTD Talisayan PT IPB,,,,,,,,,,,,,118.177,1.605,,,
PLTBm Talisayan DL,,,,,,,,,,,,,118.177,1.605,,,
PLTD Gunung Sari,,,,,,,,,,,,,117.116,2.185,,,
PLTBm Gunung Sari HHM,,,,,,,,,,,,,117.117,2.185,,,
PLTD Derawan,,,,,,,,,,,,,118.243,2.286,,,
PLTS Derawan,,,,,,,,,,,,,118.243,2.286,,,
PLTD Batu Putih,,,,,,,,,,,,,118.446,1.352,,,
PLTD Merasa,,,,,,,,,,,,,117.251,1.806,,,
PLTD Tubaan,,,,,,,,,,,,,117.859,1.818,,,
PLTD Krayan,,,,,,,,,,,,,115.7,3.883,,,
PLTMH Krayan Pemkab,,,,,,,,,,,,,115.7,3.883,,,
PLTMH Krayan,,,,,,,,,,,,,115.7,3.883,,,
PLTD Seimenggaris,,,,,,,,,,,,,117.341,4.188,,,
PLTS Seimenggaris ESDM,,,,,,,,,,,,,117.341,4.188,,,
PLTD Sebuku,,,,,,,,,,,,,117.023,4.063,,,
PLTS Sebuku ESDM,,,,,,,,,,,,,117.023,4.063,,,
PLTD Tulin Onsoi,,,,,,,,,,,,,116.992,4.18,,,
PLTS Tulin Onsoi ESDM,,,,,,,,,,,,,116.992,4.18,,,
PLTS Sebatik ESDM,,,,,,,,,,,,,117.802,4.153,,,
PLTD Lumbis Ogong,,,,,,,,,,,,,116.548,3.93,,,
PLTS Lumbis Ogong ESDM,,,,,,,,,,,,,116.548,3.93,,,
PLTD Kayan Hulu,,,,,,,,,,,,,114.91,1.785,,,
PLTS Kayan Hulu ESDM,,,,,,,,,,,,,117.595,3.304,,,
PLTD Tarakan,,,,,,,,,,,,,117.595,3.304,,,
PLTD Sewa Tarakan,,,,,,,,,,,,,117.595,3.303,,,
PLTG Trisakti,,,,,,,,,,,,,114.57,-3.31,,,
PLTMG Bangkanai Blok #01,,,,,,,,,,,,,115.137,-0.622,,,
PLTMG Bangkanai Blok #02,,,,,,,,,,,,,115.137,-0.623,,,
PLTMG Bangkanai Blok #03,,,,,,,,,,,,,115.137,-0.623,,,
PLTMG Bangkanai Blok #04,,,,,,,,,,,,,115.137,-0.623,,,
PLTU Asam Asam #01,,,,,,,,,,,,,115.105,-3.927,,,
PLTU Asam Asam #02,,,,,,,,,,,,,115.106,-3.926,,,
PLTU Asam Asam #03,,,,,,,,,,,,,115.106,-3.926,,,
PLTU Asam Asam #04,,,,,,,,,,,,,115.106,-3.926,,,
PLTU Pulang Pisau #01,,,,,,,,,,,,,114.209,-2.823,,,
PLTU Pulang Pisau #02,,,,,,,,,,,,,114.209,-2.823,,,
PLTMG Bontang Wartsila #01,,,,,,,,,,,,,117.454,0.137,,,
PLTMG MPP Kaltim #03,,,,,,,,,,,,,117.454,0.138,,,
PLTMG MPP Kaltim #04,,,,,,,,,,,,,117.454,0.138,,,
PLTMG MPP Kaltim #01,,,,,,,,,,,,,117.454,0.138,,,
PLTMG MPP Kaltim #02,,,,,,,,,,,,,117.454,0.138,,,
PLTMG Bontang Wartsila #02,,,,,,,,,,,,,117.454,0.137,,,
PLTU Teluk Balikpapan #01,,,,,,,,,,,,,116.789,-1.17,,,
PLTU Teluk Balikpapan #02,,,,,,,,,,,,,116.789,-1.17,,,
PLTGU Tanjung Batu #01,,,,,,,,,,,,,117.051,-0.382,,,
PLTGU Tanjung Batu #02,,,,,,,,,,,,,117.051,-0.381,,,
PLTGU Tanjung Batu #03,,,,,,,,,,,,,117.051,-0.381,,,
PLTG Peaking #01,,,,,,,,,,,,,117.052,-0.384,,,
PLTG Peaking #02,,,,,,,,,,,,,117.052,-0.384,,,
PLTG Sambera #01,,,,,,,,,,,,,117.291,-0.317,,,
PLTG Sambera #02,,,,,,,,,,,,,117.292,-0.317,,,
PLTG Siantan,,,,,,,,,,,,,109.327,-0.001,,,
PLTU Parit Baru Site Bengkayang #01,,,,,,,,,,,,,108.874,0.837,,,
PLTU Sanggau #01,,,,,,,,,,,,,110.556,0.03,,,
PLTU Sanggau #02,,,,,,,,,,,,,110.556,0.03,,,
PLTU Sintang #01,,,,,,,,,,,,,111.434,0.074,,,
PLTU Sintang #02,,,,,,,,,,,,,111.434,0.074,,,
PLTU Sintang #03,,,,,,,,,,,,,111.434,0.074,,,
PLTU Ketapang #01,,,,,,,,,,,,,109.942,-1.782,,,
PLTU Ketapang #02,,,,,,,,,,,,,109.942,-1.782,,,
PLTMG Kaltimex,,,,,,,,,,,,,117.053,-0.383,,,
PLTMG SW Petung (PT. Benuo Taka Energy) #01,,,,,,,,,,,,,116.74,-1.291,,,
PLTMG SW Petung (PT. Benuo Taka Energy) #02,,,,,,,,,,,,,116.74,-1.291,,,
PLTMG SW Petung (PT. Benuo Taka Energy) #03,,,,,,,,,,,,,116.74,-1.291,,,
PLTMG SW Petung (PT. Benuo Taka Energy) #04,,,,,,,,,,,,,116.74,-1.291,,,
PLTU PT. Conch South Kalimantan Cement (SKC),,,,,,,,,,,,,115.57,-2.063,,,
PLTU Dua Samudera Perkasa (DSP),,,,,,,,,,,,,116.029,-3.309,,,
PLTU Rimau Electric,,,,,,,,,,,,,115.127,-2.018,,,
PLTMG Belimbing,,,,,,,,,,,,,117.451,0.166,,,
PLTU Kariangau (PT. Kariangau Power) #01,,,,,,,,,,,,,116.801,-1.199,,,
PLTU Kariangau (PT. Kariangau Power) #02,,,,,,,,,,,,,116.801,-1.199,,,
PLTU Senoni #01,,,,,,,,,,,,,117.093,-0.543,,,
PLTU Senoni #02,,,,,,,,,,,,,117.093,-0.544,,,
PLTU Rimba Raya,,,,,,,,,,,,,117.035,-0.547,,,
PLTU MT Kaltim (Muara Jawa) #01,,,,,,,,,,,,,117.189,-0.78,,,
PLTU MT Kaltim (Muara Jawa) #02,,,,,,,,,,,,,117.189,-0.78,,,
PLTU Kalsel-1 (PT. Tanjung Power Indonesia) #01,,,,,,,,,,,,,115.442,-2.162,,,
PLTU Kalsel-1 (PT. Tanjung Power Indonesia) #02,,,,,,,,,,,,,115.443,-2.162,,,
PLTG Senipah #01,,,,,,,,,,,,,117.135,-0.988,,,
PLTG Senipah #02,,,,,,,,,,,,,117.136,-0.987,,,
PLTU Embalut (PT. Cahaya Fajar Kaltim) #01,,,,,,,,,,,,,117.062,-0.373,,,
PLTU Embalut (PT. Cahaya Fajar Kaltim) #02,,,,,,,,,,,,,117.062,-0.373,,,
PLTU Embalut Ekspansi (PT. Cahaya Fajar Kaltim),,,,,,,,,,,,,117.063,-0.373,,,
PLTMG MPP PLN Batam (MPP Pontianak),,,,,,,,,,,,,109.204,0.059,,,
PLTD Kuala Kurun #01 (MWM),,,,,,,,,,,,,113.873,-1.117,,,
PLTD Kuala Kurun #02 (DEUTZ MWM),,,,,,,,,,,,,113.873,-1.117,,,
PLTD Kuala Kurun #03 MITSUBISHI),,,,,,,,,,,,,113.872,-1.117,,,
PLTD Kuala Kurun #04 MITSUBISHI),,,,,,,,,,,,,113.872,-1.117,,,
PLTD Kuala Kurun #05 MITSUBISHI),,,,,,,,,,,,,113.872,-1.117,,,
PLTD Kuala Pembuang #01 (MWM),,,,,,,,,,,,,112.545,-3.39,,,
PLTD Kuala Pembuang #05 (MITSUBISHI),,,,,,,,,,,,,112.545,-3.39,,,
PLTD Kuala Pembuang #06 (MITSUBISIH),,,,,,,,,,,,,112.545,-3.39,,,
PLTD Kuala Pembuang #07 (MITSUBISHI),,,,,,,,,,,,,112.545,-3.39,,,
PLTD Kuala Pembuang #08 (MITSUBISHI),,,,,,,,,,,,,112.545,-3.39,,,
PLTD Sukamara #03 (MWM),,,,,,,,,,,,,111.164,-2.717,,,
PLTD Sukamara #04 (DEUTZ),,,,,,,,,,,,,111.164,-2.717,,,
PLTD Sukamara #05 (DEUTZ AG),,,,,,,,,,,,,111.164,-2.717,,,
PLTD Sukamara #06 (MTU),,,,,,,,,,,,,111.164,-2.717,,,
PLTD Sukamara #07 (MITSUBITSI),,,,,,,,,,,,,111.164,-2.717,,,
PLTD Sukamara #08 (MITSUBITSI),,,,,,,,,,,,,111.164,-2.717,,,
PLTD Sukamara #09 (MITSUBITSI),,,,,,,,,,,,,111.164,-2.717,,,
PLTU PT. Smart Tarjun Refinery,,,,,,,,,,,,,116.119,-3.271,,,
PLTD Sewa UPM Kuala Kurun,,,,,,,,,,,,,113.872,-1.117,,,
PLTD Sewa DKK Kuala Pembuang,,,,,,,,,,,,,112.545,-3.39,,,
PLTD DKK Sukamara,,,,,,,,,,,,,111.164,-2.717,,,
PLTU Pangkalan Bun (PT. Eksploitasi Energi Indonesia),,,,,,,,,,,,,111.703,-2.771,,,
PLTD Kuala Pembuang #02 (DEUTZ MWM),,,,,,,,,,,,,112.545,-3.39,,,
PLTD Kuala Pembuang #03 (DEUTZ MWM),,,,,,,,,,,,,112.545,-3.39,,,
PLTD Kuala Pembuang #04 (DEUTZ MWM),,,,,,,,,,,,,112.545,-3.39,,,
PLTD Sukamara #01 (MAN),,,,,,,,,,,,,111.164,-2.717,,,
PLTD Sukamara #02 (MAN),,,,,,,,,,,,,111.164,-2.717,,,
PLTU Lati (PT. Indo Pusaka Berau),,,,,,,,,,,,,117.619,2.215,,,
PLTU Sangatta (PT. Kaltim Prima Coal) Ex Sektor Mahakam,,,,,,,,,,,,,117.635,0.539,,,
PLTMG Gunung Belah #01,,,,,,,,,,,,,117.596,3.304,,,
PLTMG Gunung Belah #02,,,,,,,,,,,,,117.596,3.304,,,
PLTMG Bunyu (PT. Prastiwahyu),,,,,,,,,,,,,117.845,3.475,,,
PLTMG Sw Tanah Merah (KSO PT. TAN Energy),,,,,,,,,,,,,117.535,3.764,,,
PLTMG Nunukan KSO Bugak,,,,,,,,,,,,,117.64,4.133,,,
PLTMG Sw Tarakan (PT. PLN Tarakan - PT. Atamora),,,,,,,,,,,,,117.596,3.304,,,
PLTG Sw Tarakan (PT. PLN Tarakan - Perusda),,,,,,,,,,,,,117.596,3.304,,,
PLTMG Sw Tarakan II (PT. PLN Tarakan - PT. Max Power),,,,,,,,,,,,,117.654,3.343,,,
PLTMG Sw Tarakan II (PT. PLN Tarakan - PT. Sewatama),,,,,,,,,,,,,117.654,3.343,,,
PLTMG Sw Tarakan I (PT. PLN Tarakan - PT. Max Power),,,,,,,,,,,,,117.654,3.343,,,
PLTMG Sw Tarakan III (PT. PLN Tarakan - PT. Max Power),,,,,,,,,,,,,117.654,3.343,,,
PLTMG Sw Tarakan IV (PT. PLN Tarakan - PT. Max Power),,,,,,,,,,,,,117.654,3.343,,,
PLTU PT. Idec Abadi Wood Industries (AWI),,,,,,,,,,,,,117.612,3.292,,,
PLTU PT. Indocement Tunggal Perkasa,,,,,,,,,,,,,116.108,-3.273,,,
PLTU PT. Makmur Sejahtera Wisesa,,,,,,,,,,,,,115.445,-2.158,,,
PLTG PLN Tarakan #01,,,,,,,,,,,,,117.596,3.303,,,
PLTMG PLN Tarakan,,,,,,,,,,,,,117.596,3.303,,,
PLTG PLN Tarakan #02,,,,,,,,,,,,,117.596,3.304,,,
PLTU PT. Sumber Alam Sekurau (SAS),,,,,,,,,,,,,117.521,2.794,,,
PLTU PT. Wijaya Triutama Plywood Industri,,,,,,,,,,,,,114.562,-3.336,,,
PLTU PT. Kaltim Daya Mandiri,,,,,,,,,,,,,117.497,0.175,,,
PLTU PT. Kalimantan Powerindo,,,,,,,,,,,,,116.837,-0.32,,,
PLTU Tembilok (IPP Ketapang) #01,,,,,,,,,,,,,109.952,-1.782,,,
PLTU Tembilok (IPP Ketapang) #02,,,,,,,,,,,,,109.952,-1.782,,,
PLTU Parit Baru Site Bengkayang #02,,,,,,,,,,,,,108.874,0.837,,,
PLTMG Tanjung Selor Unit 2,,,,,,,,,,,,,117.367,2.814,,,
PLTU Kaltim (FTP2) Unit 1,,,,,,,,,,,,,117.492,0.054,,,
PLTU Tanjung Redep / Berau #02,,,,,,,,,,,,,117.393,2.156,,,
PLTU Kaltim (FTP2) Unit 2,,,,,,,,,,,,,117.492,0.055,,,
PLTMG Tanjung Selor Unit 1,,,,,,,,,,,,,117.367,2.814,,,
PLTU Kaltim 4 (Ekspansi-2 Embalut) #01,,,,,,,,,,,,,117.066,-0.364,,,
PLTU Kaltim 4 (Ekspansi-2 Embalut) #02,,,,,,,,,,,,,117.066,-0.364,,,
PLTU Tanjung Redep / Berau #01,,,,,,,,,,,,,117.393,2.156,,,
PLTBg Suka Damai,,,,,,,,,,,,,115.773,-3.341,,,
PLTU Kalselteng 1 (PT. SKS Listrik Kalimantan) #01,,,,,,,,,,,,,113.567,-1.374,,,
PLTU Kalselteng 1 (PT. SKS Listrik Kalimantan) #02,,,,,,,,,,,,,113.567,-1.374,,,
PLTD Kuala Pembuang Unit 7,,,,,,,,,,,,,112.545,-3.39,,,
PLTU Kalbar 1 Unit 1,,,,,,,,,,,,,108.846,0.815,,,
PLTGU Senipah (ST),,,,,,,,,,,,,117.136,-0.987,,,
PLTD Kuala Pembuang Unit 9,,,,,,,,,,,,,112.545,-3.39,,,
PLTU Kalbar 1 Unit 2,,,,,,,,,,,,,108.846,0.816,,,
PLTD Kuala Kurun Unit 2-3,,,,,,,,,,,,,113.872,-1.117,,,
PLTD Kuala Kurun Unit 4,,,,,,,,,,,,,113.872,-1.117,,,
"PLTD Gunung Purei Unit 1,2,3",,,,,,,,,,,,,115.62,-1.133,,,
"PLTD Simpang Sepaku Mitsubishi Unit 5,6",,,,,,,,,,,,,111.503,-2.209,,,
PLTD Simpang Sepaku Mitsubishi Unit 9,,,,,,,,,,,,,111.502,-2.209,,,
"PLTD Kartamulia Sukamara Mitsubishi Unit 7,8",,,,,,,,,,,,,111.211,-2.685,,,
